GB_GCA_041386525.1	0	100.0	0.11	General	95.97	0.67	263	o__Clostridiales (UID1212)	149	0.0	2609920	88.06414235380736	211	1399416	47.224471945056365	2963658	GB_GCA_910584715.1	f	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__RGIG8773;s__RGIG8773 sp910584715	not type material	none	f	41	40	80285	91718	none	0	none	none	none	0	none	none	none	none	none	none	none	none	14044	14456	f	f	t	24136	24450	Scaffold	ASM4138652v1	na	PRJNA740117	SAMN19908070	211	24136	none	2024-08-20	GCA_041386525.1	derived from metagenome	full	SB7121_S75_bin_1	none	none	0	1	Oscillospiraceae bacterium	none	na	0	205	40	24450	12235	6716	2024/08/20	6	2485925	0	SB7121_S75_bin_1	University of Queensland	2485925	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__;s__	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;x__unclassified Oscillospiraceae;s__Oscillospiraceae bacterium	330	2963658	11	31	na	2963328	0	JAIAZM000000000.1	2960	205	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	330	15	31	0
GB_GCA_947089575.1	0	100.0	1.9	General	96.64	1.34	263	o__Clostridiales (UID1212)	149	50.0	3302544	87.62908700331354	108	2027012	53.78435863527044	3768776	GB_GCA_022800935.1	f	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1405;s__UBA1405 sp022800935	not type material	none	f	21	21	146613	146613	none	0	none	none	14603	1	110	CAMUKY010000069.1	none	none	none	none	none	none	34896	34896	f	f	t	61512	61512	Contig	SRR14038233_bin.79_metawrap_v1.3_MAG	na	PRJEB56117	SAMEA111491584	108	61512	none	2022-10-22	GCA_947089575.1	derived from metagenome	full	SRR14038233_bin.79_metawrap_v1.3_MAG	mouse gut metagenome	none	0	none	uncultured Clostridia bacterium	none	na	none	none	none	none	none	none	2022/10/22	0	244328	none	SRR14038233_bin.79_metawrap_v1.3_MAG	EMG	244328	d__Bacteria;p__Bacillota;c__Clostridia;o__;f__;g__;s__	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;x__environmental samples;s__uncultured Clostridia bacterium	0	3768776	none	none	na	3768776	0	CAMUKY000000000.1	3557	108	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	16	38	0
GB_GCA_030841565.1	0	100.0	1.21	Specific	99.32	0.68	261	o__Clostridiales (UID1212)	147	0.0	2944668	84.93763374858914	294	1881431	54.26903718899442	3466859	GB_GCA_004000625.1	f	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	not type material	none	f	51	51	96950	96950	3627	2	2876	JAUUTE010000220.1	20320	2	112	JAUUTE010000048.1	2874	4466	0	94.816	CYYO01000004.84739.87616	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	11792	11792	f	f	t	18939	18939	Contig	ASM3084156v1	na	PRJNA970820	SAMN36703822	294	18939	USA	2023-08-18	GCA_030841565.1	derived from metagenome	full	N1175.8	feces	none	0	none	Oscillospiraceae bacterium	none	na	none	none	none	none	none	none	2023/08/18	0	2485925	none	N1175.8	University of Illinois at Urbana Champaign	2485925	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__;s__	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;x__unclassified Oscillospiraceae;s__Oscillospiraceae bacterium	0	3466859	none	none	na	3466859	0	JAUUTE000000000.1	3195	294	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	19	49	0
GB_GCA_958425465.1	0	100.0	0.04	Specific	98.32	0.0	263	o__Clostridiales (UID1212)	149	0.0	2222637	86.64964318921206	50	1150870	44.86673930883382	2565085	GB_GCA_003512525.1	f	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E sp003512525	not type material	none	f	12	12	152862	152862	none	0	none	none	none	0	none	none	none	none	none	none	none	none	51301	51301	f	f	t	76718	76718	Contig	ERR9762679_bin.65_MetaWRAP_v1.3_MAG	na	PRJEB62824	SAMEA114064143	50	76718	none	2023-07-19	GCA_958425465.1	derived from metagenome	full	ERR9762679_bin.65_MetaWRAP_v1.3_MAG	human feces metagenome	none	0	none	uncultured Oscillospiraceae bacterium	none	na	none	none	none	none	none	none	2023/07/19	0	707003	none	ERR9762679_bin.65_MetaWRAP_v1.3_MAG	EMG	707003	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__;s__	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;x__environmental samples;s__uncultured Oscillospiraceae bacterium	0	2565085	none	none	na	2565085	0	CATZWG000000000.1	2221	50	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	17	41	0
GB_GCA_947071245.1	0	100.0	0.7	General	94.9	0.0	261	o__Clostridiales (UID1212)	147	0.0	3011150	88.02712421730362	164	1979718	57.87452710799259	3420707	RS_GCF_000949455.1	f	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans	not type material	none	f	36	36	105679	105679	none	0	none	none	none	0	none	none	none	none	none	none	none	none	20857	20857	f	f	t	31416	31416	Contig	SRR13840103_bin.1_metawrap_v1.3_MAG	na	PRJEB56168	SAMEA111477092	164	31416	none	2022-10-16	GCA_947071245.1	derived from metagenome	full	SRR13840103_bin.1_metawrap_v1.3_MAG	mouse gut metagenome	none	0	none	uncultured Clostridia bacterium	none	na	none	none	none	none	none	none	2022/10/16	0	244328	none	SRR13840103_bin.1_metawrap_v1.3_MAG	EMG	244328	d__Bacteria;p__Bacillota;c__Clostridia;o__;f__;g__;s__	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;x__environmental samples;s__uncultured Clostridia bacterium	0	3420707	none	none	na	3420707	0	CAMTFE000000000.1	3143	164	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	17	37	0
RS_GCF_902471145.1	0	100.0	0.3	General	95.3	0.67	263	o__Clostridiales (UID1212)	149	0.0	1780325	85.439578370264	35	1179036	56.58311753380006	2083724	RS_GCF_021109255.1	f	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Merdimmobilis;s__Merdimmobilis hominis	not type material	none	f	6	6	298310	298310	none	0	none	none	none	0	none	none	none	none	none	none	none	none	59534	59534	f	f	t	87223	87223	Contig	UHGG-TPA_MGYG-HGUT-01611	na	PRJNA224116	SAMEA5851114	35	87223	none	2021-03-30	GCA_902471145.1	derived from metagenome	full	MGYG-HGUT-01611	human gut	none	0	1	uncultured Merdimmobilis sp.	none	na	1	none	none	none	none	none	2021/03/30	0	3028859	1	MGYG-HGUT-01611	EMG	3028859	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Merdimmobilis;s__	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Merdimmobilis;x__environmental samples;s__uncultured Merdimmobilis sp.	0	2083724	11	36	na	2083724	0	CABRJC000000000.1	1951	35	46027	1	none	none	none	none	none	none	525	NZ_CABRJC010000017.1	520	961	0	100	FNLI01000001.906.2398	Bacteria;Bacillota;Clostridia;Oscillospirales;Ruminococcaceae;Phocea;Anaerotruncus sp. Marseille-P2769	0	15	38	1
GB_GCA_022769565.1	0	100.0	0.9	General	95.97	1.01	263	o__Clostridiales (UID1212)	149	66.67	2236854	87.10504221969192	109	1164934	45.36354417997536	2567996	GB_GCA_022769565.1	t	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UMGS363;s__UMGS363 sp022769565	not type material	none	f	23	23	124779	124779	none	0	none	none	none	0	none	none	none	none	none	none	none	none	23559	23559	f	f	t	33808	33808	Contig	ASM2276956v1	na	PRJNA629856	SAMN26525289	109	33808	Canada: Lacombe	2022-03-31	GCA_022769565.1	derived from metagenome	full	SUG65	feces	52.4685 N 113.7307 W	0	0	Oscillospiraceae bacterium	none	na	1	none	none	none	none	none	2022/03/31	0	2485925	1	SUG65	AAFC	2485925	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__;s__	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;x__unclassified Oscillospiraceae;s__Oscillospiraceae bacterium	0	2567996	11	28	na	2567996	0	JALEJQ000000000.1	2357	109	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	12	28	0
GB_GCA_958352125.1	0	100.0	1.68	General	97.99	2.01	263	o__Clostridiales (UID1212)	149	0.0	2948515	88.9268869987351	143	1684414	50.80174034627173	3315662	GB_GCA_000432175.1	f	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__CAG-115 sp000432175	not type material	none	f	26	26	212035	212035	none	0	none	none	none	0	none	none	none	none	none	none	none	none	23186	23186	f	f	t	35811	35811	Contig	ERR9578165_bin.58_MetaWRAP_v1.3_MAG	na	PRJEB62820	SAMEA114062757	143	35811	none	2023-07-19	GCA_958352125.1	derived from metagenome	full	ERR9578165_bin.58_MetaWRAP_v1.3_MAG	human feces metagenome	none	0	none	uncultured Eubacterium sp.	none	na	none	none	none	none	none	none	2023/07/19	0	165185	none	ERR9578165_bin.58_MetaWRAP_v1.3_MAG	EMG	165185	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;x__environmental samples;s__uncultured Eubacterium sp.	0	3315662	none	none	na	3315662	0	CATWNL000000000.1	3167	143	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	16	47	0
GB_GCA_000435455.1	189	100.0	0.73	General	96.42	1.34	263	o__Clostridiales (UID1212)	149	0.0	2223129	86.60022118197183	286	1158447	45.21762244739039	2567117	RS_GCF_900148495.1	f	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus massiliensis	not type material	none	f	49	18	73100	170757	none	0	none	none	none	0	none	none	none	none	none	none	none	none	8958	17114	f	f	t	15230	38989	Scaffold	MGS242	na	PRJEB782	SAMEA3138659	286	15230	none	2013-07-17	GCA_000435455.1	derived from metagenome	full	na	derived from human gut metagenome	none	0	0	Clostridium sp. CAG:242	2433	na	0	150	18	38989	15903	8382	2013/07/17	136	1262783	0	none	DTU	1262783	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;x__unclassified Clostridium;s__Clostridium sp. CAG:242	4991	2567117	11	39	na	2562126	0	CBCM000000000.1	2548	150	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	4991	17	38	1
GB_GCA_963628005.1	0	100.0	0.04	Specific	98.32	0.0	263	o__Clostridiales (UID1212)	149	0.0	2219005	88.22078284537027	37	1123182	44.656199009532536	2515286	GB_GCA_900539195.1	f	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E sp900539195	not type material	none	f	6	5	300914	580045	27842	1	478	CAVGCU010000023.1	27842	1	110	CAVGCU010000023.1	478	883	0	100	FP929059.2592150.2594979	Bacteria;Bacillota;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus;[Eubacterium] siraeum V10Sc8a	67977	78602	f	f	t	139005	139005	Scaffold	E07160-L1_cleanbin_000001_GreatApes	na	PRJEB68160	SAMEA114581629	37	139005	none	2023-12-07	GCA_963628005.1	derived from metagenome	full	E07160-L1_cleanbin_000001	none	none	0	none	Alistipes finegoldii	none	na	none	32	5	139005	60067	39855	2023/12/07	5	214856	none	E07160-L1_cleanbin_000001	Institute of Clinical Molecular Biology, University of Kiel, Germany	214856	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes finegoldii	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes finegoldii	110	2515286	none	none	na	2515176	0	CAVGCU000000000.1	2204	32	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	110	18	39	0
